scenario_ids,gt_critical_continuous_individual,gt_critical_continuous_interaction,gt_critical_continuous_safeshift
ae5cbaf0be25883d.pkl,10.406,37.391,23.899
aa4eff05ef6e3a67.pkl,2.857,13.938,8.397
efdcc7355c07a1ef.pkl,5.586,7.622,6.604
ad5409ad43d629c9.pkl,10.318,40.16,25.239
36341eff62f05f87.pkl,7.805,52.366,30.086
5d6dde37d76f3650.pkl,3.64,2.704,3.172
ee9c082f31f38b97.pkl,4.873,16.651,10.762
4d823a616fa73591.pkl,4.364,6.889,5.626
e0a742505f4f6b93.pkl,5.351,6.754,6.052
8e4361414e329230.pkl,6.054,5.026,5.54
36d5b67c12e63dfc.pkl,23.761,3.057,13.409
b91348c3734396d8.pkl,6.049,15.911,10.98
4946c578fd7790c7.pkl,7.467,27.164,17.316
e8962ef39d03a435.pkl,24.752,43.865,34.309
b8a79a30b13b8b02.pkl,12.147,31.294,21.721
aecd67a494e8ffa2.pkl,13.217,29.874,21.545
fda218d95f513d89.pkl,5.939,15.717,10.828
241b4c58eed4aad8.pkl,11.021,33.555,22.288
68f4a1e4f5d8ced0.pkl,10.612,39.604,25.108
fa467f244787361c.pkl,1.81,5.917,3.864
202982d186dcd911.pkl,26.51,62.862,44.686
31cd56416f6a003b.pkl,12.573,7.29,9.932
37dba37b4c736fa8.pkl,12.81,45.347,29.079
ae7ed2ddb7358de1.pkl,17.74,57.179,37.459
ac3f215312aed637.pkl,5.582,14.011,9.796
9032977e90cb0810.pkl,8.933,42.775,25.854
3896c032852bd1b.pkl,21.075,27.746,24.41
7eb87d8db4e88f5a.pkl,12.317,4.109,8.213
bcb5b49a649aad12.pkl,5.24,5.683,5.462
17b9ce00277e858.pkl,7.848,6.004,6.926
eb59469dea8b0b32.pkl,6.738,8.756,7.747
f5da319bbf65dac.pkl,16.239,44.209,30.224
6ec6844432b7b4b7.pkl,3.499,6.836,5.168
84c6bd802a59939a.pkl,15.642,66.453,41.047
85883ca266c48a6f.pkl,8.006,23.458,15.732
6ff5c80f577cbb28.pkl,1.728,1.665,1.696
2f5a1331a4aa0a24.pkl,1.593,3.12,2.356
6df3b2fe265fce6c.pkl,10.463,17.703,14.083
33c473134e41dd32.pkl,7.334,40.862,24.098
574541c385e5cb0d.pkl,8.111,16.347,12.229
bf529cecbf2cdf52.pkl,13.783,15.578,14.681
c7590b6896e84b5b.pkl,2.3,12.974,7.637
5c05f7984f94c248.pkl,2.659,6.711,4.685
67f4400888fe291d.pkl,4.512,8.78,6.646
e2c635836a4f98ac.pkl,11.103,45.644,28.373
af4bc66857613bcc.pkl,18.994,59.343,39.168
6f7b22ef3ce48294.pkl,2.786,5.881,4.333
1bbfba580e8253d3.pkl,3.152,15.227,9.189
9ce2e6fc53411ca0.pkl,8.991,11.532,10.262
7d844bcdc24d4c49.pkl,7.685,12.17,9.928
d01ca652c0ee2b4d.pkl,14.322,27.135,20.728
9051de343206b471.pkl,16.978,24.123,20.55
8d62f7672dae065f.pkl,4.488,17.212,10.85
d4e6dec6bd491f6f.pkl,4.428,9.869,7.148
115f864e6e5fce61.pkl,17.879,32.628,25.253
b85f7fad2e341f99.pkl,8.822,19.015,13.918
1850439740e65588.pkl,10.301,43.111,26.706
235fa99149211f1d.pkl,2.028,3.933,2.981
2e649f1e720f2ac2.pkl,3.616,14.409,9.012
d7d050c67078f0dd.pkl,8.045,14.949,11.497
f7d142ba90fd3e1d.pkl,5.612,42.275,23.944
c3eb28ecfc435f3c.pkl,3.186,18.525,10.856
e707d4b615e315f5.pkl,17.82,74.449,46.135
d6942bce1f1c8e01.pkl,23.913,94.598,59.255
8fd0b513fc418246.pkl,7.406,9.784,8.595
f20c19cddd9753f9.pkl,13.376,42.028,27.702
ba8593973db0460.pkl,1.464,0.52,0.992
653728fe984afaa8.pkl,16.797,42.225,29.511
f1bfa5ccc6fe1797.pkl,6.921,24.616,15.769
8151b38a685abbfa.pkl,2.317,2.447,2.382
27c198ba06bc008c.pkl,5.443,9.958,7.701
82d97c28be59910c.pkl,16.64,52.407,34.523
418326698368b26e.pkl,3.239,7.274,5.257
6233dfc70dd6094a.pkl,5.332,8.585,6.958
433a3d54d573dfec.pkl,13.973,44.686,29.33
6332ca2c85e2635a.pkl,12.727,28.702,20.714
c988f2d6f5e4f4e9.pkl,3.347,4.511,3.929
18fa05a0d094e5c2.pkl,5.681,7.009,6.345
7302470b9aa70fa8.pkl,11.091,33.889,22.49
cd4c9f890a268bc.pkl,20.873,58.238,39.556
5fc9b3634eea44bc.pkl,4.272,17.879,11.076
f8b26ec34bf9b347.pkl,6.333,19.173,12.753
74bd5c351cac696c.pkl,16.884,50.431,33.658
c714f567186c59d3.pkl,15.29,15.431,15.36
6bf565444f0cc9b2.pkl,5.491,10.616,8.053
8f71e65679ac8d2a.pkl,2.892,7.588,5.24
4ea11f51386defb0.pkl,3.634,6.709,5.171
ba07c358e32c0540.pkl,10.588,52.652,31.62
43084259cba8df98.pkl,8.364,26.407,17.385
8b76339f75d1e0df.pkl,2.639,0.0,1.32
80fe467658b68213.pkl,7.43,10.699,9.065
581573d00ea76146.pkl,15.499,50.809,33.154
931c0406160b3235.pkl,7.132,11.003,9.068
b4d447eac5bac864.pkl,12.431,30.68,21.556
6675dda7dd29f4bc.pkl,10.416,4.438,7.427
52ce213fa3b658d2.pkl,10.26,28.118,19.189
2e8fca5e766a817b.pkl,5.214,6.833,6.024
eb734f360ba5b051.pkl,12.712,51.285,31.998
8e2909cf4a7d0764.pkl,3.271,1.34,2.305
6c96348315d55cdc.pkl,2.141,5.444,3.793
c5b3c5c6a0d5c476.pkl,11.098,43.802,27.45
cf8de43685620992.pkl,1.473,2.959,2.216
3068488cdf8b3418.pkl,7.391,8.899,8.145
172f3b4457c0d6b9.pkl,12.939,26.914,19.927
73234403ad38f914.pkl,3.095,6.363,4.729
6f5d9fcab5556344.pkl,3.851,14.187,9.019
a78d18247309f470.pkl,6.576,17.303,11.939
3d5590e83e54c8d4.pkl,2.699,0.389,1.544
985a3bfcbc5e4586.pkl,20.826,13.376,17.101
5243b305dd71b9dd.pkl,6.399,25.356,15.878
191b21394d738191.pkl,11.483,38.888,25.186
59bef01567b27f5e.pkl,4.634,29.666,17.15
ab42ec724e4b4120.pkl,13.69,57.569,35.63
e450cfcac76d122a.pkl,7.26,48.587,27.924
695bbf7f4b88c1b5.pkl,8.767,28.825,18.796
c52ca0b776b5d3dd.pkl,8.079,21.25,14.664
12bed855a6209d13.pkl,2.365,3.42,2.893
88122082646ffc39.pkl,17.129,42.429,29.779
7b3bbeb1ff2e6f7c.pkl,7.585,17.953,12.769
53fefd97b63e4b2f.pkl,10.679,22.218,16.448
b9fe264a2d46899.pkl,14.423,60.903,37.663
c410fb42a81014d7.pkl,13.636,32.03,22.833
2822650fd64b3e03.pkl,18.265,31.95,25.107
cb83f4c5565a6e86.pkl,9.965,47.713,28.839
5ab11dc82b30ff38.pkl,4.736,14.473,9.604
a8fd90a5f45de82f.pkl,2.854,8.38,5.617
bba416babf5a6239.pkl,16.87,55.28,36.075
627c290938c0c09.pkl,17.542,46.105,31.824
3e3dd2a69525d265.pkl,3.885,7.691,5.788
6577a6a80f4705c4.pkl,2.118,15.743,8.93
c9be7e7a9c49057f.pkl,6.556,20.928,13.742
e98a7b94a1535a57.pkl,1.934,2.18,2.057
3db05e14371d73fc.pkl,7.901,10.666,9.284
7c8ebaa0977b9a11.pkl,4.768,7.828,6.298
613f79d4186b9462.pkl,15.58,33.933,24.756
6f8528de1c326a16.pkl,3.969,9.392,6.681
c267155fec6d2a05.pkl,9.192,26.201,17.697
d2dafb0df66a435d.pkl,20.141,72.285,46.213
e4c7a91038ef2b6b.pkl,2.943,8.667,5.805
e2118ecd758b4dad.pkl,19.397,53.995,36.696
9bb0e9502d7333b4.pkl,11.248,5.246,8.247
1773fbbdbdff69cc.pkl,7.44,6.901,7.17
360f14d603c9a914.pkl,4.467,15.921,10.194
b7fc74f5d88a6c13.pkl,12.402,62.327,37.364
6fa234956667004e.pkl,3.913,4.04,3.976
85dc01cfc25734ee.pkl,9.902,40.652,25.277
11c8aa24455838f4.pkl,2.798,9.701,6.25
f45444ab94441cd1.pkl,12.937,23.064,18.0
19683c32845dbd9e.pkl,15.291,21.264,18.277
3b11ec330d971ac.pkl,3.819,8.217,6.018
5e2f633366eed0bb.pkl,3.027,2.392,2.71
5d38ef9e411faa5a.pkl,4.566,11.935,8.251
e856f7394003d2fe.pkl,15.473,32.827,24.15
e3de5b0183cee793.pkl,17.065,28.791,22.928
b5a3d4ec2891857d.pkl,10.431,11.043,10.737
3b9dee497fc71a9c.pkl,8.51,7.192,7.851
b878dec138aeec57.pkl,11.249,14.106,12.677
1cd9003daf3d9371.pkl,6.224,3.305,4.764
d39e53aaae8d63ac.pkl,11.155,31.093,21.124
ae6dcf90f8e15b15.pkl,15.072,28.426,21.749
89da61fae0755c97.pkl,8.702,19.037,13.87
ab29530fa8f990b4.pkl,15.172,54.889,35.031
72633e2d5ecedc1d.pkl,18.001,38.939,28.47
154b7d460efbdb6d.pkl,14.58,23.22,18.9
453971c8c1ac98cf.pkl,6.551,26.361,16.456
da882d62b03d136a.pkl,9.252,17.614,13.433
6764a3c555916829.pkl,10.663,6.296,8.48
e20da6b13caa3405.pkl,6.142,16.575,11.359
91cf3f8ad36be7a8.pkl,7.727,18.242,12.985
55ff586865c21b9a.pkl,9.587,45.615,27.601
95834089301c1b7d.pkl,11.169,24.869,18.019
b151a23a1be7da95.pkl,14.014,36.013,25.013
106eb7968b96cc71.pkl,3.247,39.964,21.606
fb02321482f88617.pkl,40.505,10.134,25.319
531901f6eedeba99.pkl,10.767,26.307,18.537
2a557c27d3b4e197.pkl,4.161,2.452,3.307
8be2444e02887857.pkl,4.122,4.641,4.381
f7d3e49ead67b754.pkl,15.468,21.694,18.581
d6480d9413bd59bf.pkl,6.802,29.781,18.291
e4cde814157ce429.pkl,9.126,38.854,23.99
232d54e4b701b74b.pkl,22.046,60.336,41.191
d1ea64a4c1d03cc7.pkl,6.598,12.591,9.595
ec84bb099f937982.pkl,7.002,2.452,4.727
56f0eaef0edd1ddf.pkl,6.382,17.721,12.052
7df0b41743a5e562.pkl,1.641,2.592,2.117
a376afcf5f46108b.pkl,7.804,13.952,10.878
c3ca2a19a07b137b.pkl,7.533,24.602,16.067
7aa1ca37ce1452eb.pkl,3.965,7.067,5.516
31fc9f371fc5d221.pkl,10.914,41.68,26.297
b39d427447dac90f.pkl,10.191,46.552,28.372
475ebd0dbd8e479c.pkl,14.75,68.83,41.79
9ea17eae6086b2ff.pkl,1.684,5.019,3.351
39c2972d4da0a9c8.pkl,17.097,36.725,26.911
be16b0b13cf60dc3.pkl,11.58,64.374,37.977
691eee94e88afb75.pkl,8.8,30.399,19.599
3280e61ad07a01cd.pkl,7.632,18.017,12.825
6d9733dbc527676a.pkl,2.501,11.121,6.811
109bfe21cfd3e3d1.pkl,4.377,10.529,7.453
2c267e59fec9d608.pkl,5.336,13.242,9.289
2100e99ce153529f.pkl,19.436,22.906,21.171
be58e9d6bc6d2764.pkl,12.226,53.21,32.718
2d55de224a0d2ffc.pkl,2.365,13.573,7.969
c8a059f3ea53bd07.pkl,2.313,4.675,3.494
7ba9866a6cbfc42f.pkl,2.575,12.425,7.5
c05b5346e7ec4f01.pkl,17.748,42.866,30.307
b8e8b076aac7b9d8.pkl,9.622,66.283,37.953
34296b709b62d1c2.pkl,5.615,17.946,11.781
cb15e2235f4a057c.pkl,19.54,61.276,40.408
610ff329331166b5.pkl,8.025,18.328,13.177
e6364be46c1ca6f7.pkl,25.762,31.786,28.774
6fc77f4e7dc0919d.pkl,2.576,3.556,3.066
9508d7e31704c990.pkl,6.386,13.298,9.842
aa9a4f11eef1dd81.pkl,11.23,25.768,18.499
ba51273468dcf8cf.pkl,2.457,10.144,6.3
6f1e10f86782a8c7.pkl,2.819,9.292,6.055
e0a57a5749239fe9.pkl,21.081,32.091,26.586
36be520fb08f7da.pkl,5.636,16.604,11.12
8b8f97b2506d2256.pkl,2.734,0.0,1.367
a3810971a690f35a.pkl,12.401,14.547,13.474
c4ffbe2f21cd5563.pkl,6.678,23.699,15.189
2464cd66cea2f99b.pkl,4.997,5.736,5.366
4e693c11685fbaa1.pkl,4.609,12.896,8.752
3f213e2820254e1b.pkl,2.765,4.125,3.445
f3856016680a006d.pkl,13.236,36.922,25.079
ba8afeeecc364d8e.pkl,9.138,8.082,8.61
76263bd68d141808.pkl,15.788,50.404,33.096
55716e33e60ebf22.pkl,21.161,38.256,29.709
393756a28d32f4f2.pkl,4.343,19.732,12.037
5da17ee6df025230.pkl,5.575,3.834,4.705
95e335e32f7943a9.pkl,11.441,20.484,15.963
4ece07b3ecc9df94.pkl,4.016,1.751,2.884
d8ba9d8c18582978.pkl,4.553,9.818,7.185
f20d1d2861d544d1.pkl,4.388,18.101,11.245
8a6c35774d81f98f.pkl,3.669,4.971,4.32
26cb98fdbd2005c2.pkl,3.607,2.79,3.198
775e1b093d5099c4.pkl,9.712,13.313,11.512
f307eb2e747c5a59.pkl,12.36,26.556,19.458
9d5e963c448a9375.pkl,4.733,9.367,7.05
e4bed279d8a9b843.pkl,11.952,28.256,20.104
da658b035dffbc4f.pkl,3.231,7.069,5.15
471ca535f4002163.pkl,4.075,8.274,6.175
cec49df10c41ad7d.pkl,10.403,55.401,32.902
ee7b8aec71dba770.pkl,9.561,21.468,15.514
2a28ea4d6505a370.pkl,13.993,19.04,16.516
3f3c0e1a87560f59.pkl,2.825,3.706,3.265
f95c86d247b9cd9e.pkl,8.661,35.288,21.975
96395b051dc5e2cc.pkl,11.07,22.835,16.952
b063065d55a07d22.pkl,3.718,16.761,10.24
352f0bdd01a36669.pkl,14.584,16.319,15.452
2414fccf821cd634.pkl,30.141,7.764,18.952
354145a0f9e3d9e4.pkl,6.886,6.322,6.604
9db6bb26cff5068.pkl,4.507,7.511,6.009
c11001fd929b9573.pkl,3.603,43.708,23.655
a0eb2304c5af701.pkl,16.595,37.103,26.849
3e01154bacdb64e3.pkl,3.359,4.156,3.758
3d619e7ca84fc961.pkl,2.368,4.531,3.449
71873c90bfc7cdb2.pkl,1.572,3.077,2.324
924964b5305f583f.pkl,7.647,39.131,23.389
88495b8508f8ed6c.pkl,23.031,66.766,44.899
5ad081128be6afc9.pkl,5.642,3.506,4.574
1ea03761d4977aba.pkl,3.004,10.47,6.737
78598e277992657f.pkl,4.557,4.416,4.487
f9fda88b2a22bfc4.pkl,5.953,17.445,11.699
144f4affe07b062d.pkl,4.011,8.975,6.493
aa2da96c60ab2a07.pkl,16.957,34.878,25.917
9d4112c6a16b41e5.pkl,4.209,15.474,9.842
f4949137933afdde.pkl,9.745,33.675,21.71
299fab6f7e672667.pkl,9.001,21.683,15.342
7bfe72a95b111c3d.pkl,6.063,9.355,7.709
aae67a856b224057.pkl,7.419,22.2,14.81
3e4627a1fe9ac52e.pkl,5.522,2.273,3.897
6eec5cde47d373a.pkl,3.87,6.171,5.021
ed64357ad3174e40.pkl,7.561,13.214,10.387
7e139ada23a9d0dd.pkl,3.869,2.972,3.42
8d906da6565ce0d2.pkl,5.303,14.53,9.916
51dbcd8481e3e1f1.pkl,5.393,8.89,7.141
2ab96a1ef7c2bbce.pkl,3.715,6.467,5.091
8c19669df331b7c8.pkl,7.309,3.122,5.215
4d0edeb747fd0298.pkl,3.978,2.263,3.12
a9840ffff4a88099.pkl,11.999,34.01,23.004
6c9fa18926b634eb.pkl,1.808,3.742,2.775
aed7f14dd59397cb.pkl,5.398,17.923,11.66
8d9e5a7d2bef1360.pkl,2.592,11.695,7.143
3645624842816691.pkl,2.674,9.257,5.966
748fec805589f316.pkl,9.188,39.598,24.393
5ac8751a72a69d46.pkl,2.747,9.249,5.998
af7f34fef05f2bdb.pkl,10.019,25.827,17.923
90bdd76fb63cb5fd.pkl,9.854,14.557,12.205
fb6a5de8e5e65d46.pkl,21.517,20.444,20.98
d795b6c4aa4e9d23.pkl,2.697,11.725,7.211
bb5140b6317d0164.pkl,7.455,23.132,15.294
b00e61972cbad8e5.pkl,3.657,5.648,4.653
855d4f3bb1c69d31.pkl,10.399,43.152,26.776
482625e4bc75d8a3.pkl,4.617,19.856,12.236
294b082e7c0b77b3.pkl,14.377,72.507,43.442
25f32b11aa476678.pkl,1.451,13.929,7.69
6c9135fbf3f5a47b.pkl,4.441,3.031,3.736
ce05ae7eb4051f96.pkl,2.757,18.711,10.734
5425fe396b454048.pkl,4.413,45.126,24.769
b7c14290b863f5d.pkl,13.71,75.055,44.382
cdd1aa5932fb7cd1.pkl,10.388,21.837,16.113
2515412de7a52e1d.pkl,31.89,26.126,29.008
6aa7e88b0d8671d4.pkl,4.053,12.719,8.386
a3dc10af96250075.pkl,6.028,9.328,7.678
ac70063814a468df.pkl,10.367,16.75,13.559
3e67122e155a673e.pkl,1.564,0.0,0.782
d336c933d4337bf.pkl,1.742,5.772,3.757
f6e5ec44a1dfd04d.pkl,7.354,18.829,13.091
5a0c35f8854295f.pkl,2.815,3.334,3.075
338b785dd2f362ed.pkl,5.072,5.856,5.464
128cbb42e0ee4fb2.pkl,4.856,3.004,3.93
b1f17c6019d07a01.pkl,20.627,79.363,49.995
60e1f59b84911072.pkl,10.475,65.394,37.934
c79b1f6193f6802d.pkl,3.358,6.544,4.951
86b81cb0535934c3.pkl,1.686,6.659,4.173
4c947b6e4caeb7e0.pkl,5.922,9.949,7.935
13f975b6b48322b2.pkl,1.643,1.752,1.697
86dadbd3515930c3.pkl,13.745,58.188,35.967
5f99f5c01a77f3ee.pkl,8.018,14.075,11.047
20a1c4739535a04f.pkl,2.132,6.389,4.261
86b3aba3d612ad6c.pkl,9.137,34.632,21.884
2450b6bf07a2d1af.pkl,11.236,27.46,19.348
3870966d3a289aae.pkl,6.117,37.272,21.695
9d0f137b2996f4c1.pkl,1.802,3.923,2.862
d2d50ec43b0193e0.pkl,11.022,70.103,40.563
9b9f1028f5e3557.pkl,4.571,8.998,6.785
bfe4e9b5d60005da.pkl,5.278,25.273,15.275
804092f2b11bac75.pkl,6.713,63.281,34.997
6e4c1dd33c57f5b4.pkl,6.155,11.487,8.821
34764222086e4cfa.pkl,13.057,66.771,39.914
365370bc3ef201f.pkl,6.818,6.147,6.483
5b3dda1aaa8da254.pkl,2.479,9.54,6.009
904c6d6ba865b28.pkl,9.991,28.87,19.431
430b7ea158876f5e.pkl,18.277,25.85,22.064
a9ddf4c29e4931e6.pkl,7.714,22.709,15.211
a858e0af2f829235.pkl,9.396,31.708,20.552
3103f76bc62fd6a8.pkl,7.153,24.482,15.817
acdbb74ce886ba12.pkl,3.758,18.337,11.047
846bf66269c838cf.pkl,14.099,36.792,25.445
de6889e98ac2f152.pkl,13.107,6.347,9.727
28aadfe36d318c08.pkl,28.535,3.227,15.881
ced6ec617627cc56.pkl,17.276,13.905,15.591
39074b193c7f6695.pkl,18.262,34.837,26.549
7f4846a450b268d8.pkl,2.516,7.441,4.979
b1580281db92e485.pkl,10.809,14.135,12.472
c0e378f78043163c.pkl,6.329,52.357,29.343
97a41b81f922949a.pkl,8.526,15.07,11.798
ad7b2b5e329a0e31.pkl,12.937,32.834,22.885
a091090e40b3e516.pkl,7.031,31.803,19.417
fbc4427cb02c4e48.pkl,15.177,30.022,22.6
28e850bde6826dda.pkl,5.381,6.286,5.833
323b40e5bfc5a5da.pkl,10.255,35.081,22.668
6eec8e4fa3d1bc1.pkl,7.591,17.574,12.582
c549c69c076a2718.pkl,16.87,16.339,16.604
5d626a34e7f45ecc.pkl,5.648,17.729,11.689
1e81cae4fb79139.pkl,3.881,6.974,5.428
4b3359a722f98b10.pkl,11.088,6.614,8.851
4776db75795f51dc.pkl,10.214,16.442,13.328
682f739c65548144.pkl,13.497,26.337,19.917
d61fd57710b2f0ce.pkl,14.655,26.829,20.742
1371c794f70a069f.pkl,11.546,42.57,27.058
d4c6d4757730fd15.pkl,5.888,10.044,7.966
f8649b7562035287.pkl,5.1,9.184,7.142
b4d98bcdd0ecfb6c.pkl,25.823,62.228,44.025
c6c0eda250981587.pkl,12.218,25.828,19.023
bbfb65b33474b6d1.pkl,29.852,29.902,29.877
cc91b3b1118f0e8a.pkl,6.469,18.956,12.712
8f566741f3de465f.pkl,3.174,10.673,6.924
ca1c8859b5d9518a.pkl,9.492,23.971,16.732
d46b975c70850084.pkl,13.191,42.499,27.845
4bcc627effe8a88b.pkl,5.803,1.563,3.683
1dcca634ae9ffe8f.pkl,5.588,10.583,8.086
e1cca9b45ee406b9.pkl,9.983,122.807,66.395
f1dcf2c7a5cc6010.pkl,6.902,17.273,12.087
1160a911e86e09e6.pkl,7.488,3.934,5.711
153d3ce8f43e96b.pkl,9.592,35.772,22.682
70a6f0b4870814b7.pkl,25.602,48.045,36.824
a8d253812a67769e.pkl,3.282,23.673,13.477
d07d407dec3e48c1.pkl,14.317,97.331,55.824
c87c67f5db3caf34.pkl,7.381,44.849,26.115
c4d7daef7d64f89a.pkl,10.674,28.4,19.537
aa4781f371409dbb.pkl,2.397,14.446,8.421
15216fbf7d5d18a1.pkl,7.241,20.507,13.874
67a57bf52ef59f7c.pkl,6.875,15.711,11.293
933d34b59481dfca.pkl,16.246,20.086,18.166
b0901fc3376e18a8.pkl,4.21,5.101,4.655
9031cc289f06c047.pkl,8.101,10.828,9.465
79a2dcb3bd96eec8.pkl,10.77,26.309,18.54
b3fe135b04165b53.pkl,16.846,7.869,12.357
9c0e64130dfa2e92.pkl,1.375,10.167,5.771
8906d48581994a6b.pkl,8.158,46.896,27.527
55cc4ad1f5b9b78f.pkl,5.035,15.566,10.3
54554b0ff77ed69b.pkl,8.055,17.928,12.992
c076b10034b5335c.pkl,11.623,61.75,36.686
8464eb882dfc216f.pkl,9.235,97.148,53.191
868d6535f0f9fe.pkl,8.366,38.955,23.66
f1321d63d503a44f.pkl,8.567,6.558,7.562
9e44c13054b2eb05.pkl,11.049,7.007,9.028
b923ae7275e3e465.pkl,8.359,45.075,26.717
af6a7e935cabee21.pkl,11.648,16.048,13.848
a49f56e962c91be7.pkl,4.013,7.327,5.67
c8daa0f265c72d3c.pkl,19.926,50.782,35.354
eafe42935b09f9ec.pkl,8.609,37.827,23.218
80fe67a1238fbf8d.pkl,11.97,66.29,39.13
ed787ccf4aac7db0.pkl,5.93,16.723,11.327
de7401420d411c9c.pkl,8.487,11.105,9.796
61cbb5ae3a467640.pkl,9.116,23.45,16.283
be12dfd44eaaf0c2.pkl,8.855,33.604,21.229
7f5ecc4ccf9edd75.pkl,4.554,6.831,5.692
6b009995b1fe5c53.pkl,3.78,12.838,8.309
209f9676e4b75647.pkl,31.452,33.165,32.308
5c7759adf0dd055d.pkl,6.824,12.687,9.756
8d21ce7abca83a58.pkl,2.603,0.0,1.301
8d11384e1328965f.pkl,4.846,6.027,5.437
be868fe6f8d2d90e.pkl,10.222,31.277,20.75
493fbb54c7c778d4.pkl,14.117,20.873,17.495
25721378f6eacb3.pkl,7.138,26.735,16.936
ce0b2e2b09219a95.pkl,9.312,18.764,14.038
ffaad7dfb817ec4d.pkl,6.213,23.415,14.814
41a2ae7b31a61323.pkl,6.788,21.378,14.083
7e558d9d75543638.pkl,1.832,13.308,7.57
38c88522a12af65.pkl,11.751,25.596,18.674
d67c48ae57a85ee0.pkl,15.626,37.035,26.33
8dfa5d23d4c3e61.pkl,2.489,9.422,5.955
62977056671d3f25.pkl,4.73,35.0,19.865
dc64df49e5e056b8.pkl,19.483,6.896,13.19
3dc56b66cc743ea1.pkl,4.082,8.204,6.143
3d5db518432987a8.pkl,2.493,0.907,1.7
5cbfa2ca11d0405b.pkl,3.171,4.1,3.635
6121e572fa241483.pkl,20.534,200.0,110.267
eaccb9dbcaa27828.pkl,12.843,21.779,17.311
9ed2947b8f8eac9d.pkl,2.896,4.793,3.845
9ada7732f122907d.pkl,4.69,6.223,5.457
ffab3fc57a51cfa6.pkl,20.876,68.917,44.896
aba406d046a4155d.pkl,11.092,58.847,34.97
b7545d40ce44a6e2.pkl,13.029,32.993,23.011
f72328274c4ab417.pkl,5.651,7.315,6.483
3e77227fbd77b2fe.pkl,4.922,9.585,7.253
b756ca7459cf3bf8.pkl,4.417,14.176,9.297
6bcfcd236baeca4.pkl,11.299,9.125,10.212
5541b50ba09c5c56.pkl,16.006,41.68,28.843
4cbb64697468804b.pkl,3.814,9.666,6.74
e1fe9d6ba74908f4.pkl,10.874,37.625,24.25
f1f5cbaa97284fad.pkl,9.179,22.744,15.961
f9ad42398dd07a7.pkl,5.262,7.18,6.221
138920dcc010f04f.pkl,13.561,40.926,27.244
97ed9bde8db5717.pkl,9.077,44.278,26.678
236432fc0f9b41e9.pkl,3.771,18.734,11.253
e568e428b828d202.pkl,7.211,19.423,13.317
9d974d2194cf292.pkl,2.562,0.0,1.281
97ffc9808ec4fa60.pkl,13.375,83.607,48.491
40720daa6d507089.pkl,5.631,10.588,8.109
11c92b3e5f88f24c.pkl,4.121,6.426,5.274
955abb8b90e34857.pkl,6.969,39.231,23.1
523f42e3382f3397.pkl,16.342,84.063,50.202
d06a07aab2ff2da0.pkl,23.044,27.465,25.254
63303d46776cb297.pkl,15.251,83.089,49.17
4dd0588c915dda62.pkl,4.345,9.091,6.718
fe4df81b0d2fe99e.pkl,10.796,43.773,27.285
b5f5d9c0e5eb3775.pkl,11.292,51.922,31.607
2dcf04f41902d337.pkl,6.575,9.106,7.841
46fa6d7018d74e3d.pkl,19.492,71.098,45.295
27cbc69040877b28.pkl,2.759,3.847,3.303
68fcd4b20c372ec4.pkl,7.459,30.566,19.012
7ba521d284ea5ef7.pkl,5.335,6.029,5.682
794ed4f68d0d9408.pkl,8.429,21.618,15.024
7ea2a56d6501a8c.pkl,4.559,15.689,10.124
787712ce6a18556a.pkl,6.504,35.559,21.031
fbdd8c7a558b766c.pkl,9.926,58.057,33.992
b0cee76f33f5248d.pkl,10.995,14.043,12.519
fdabbaa3d0e20bd0.pkl,13.658,32.7,23.179
b939b9d82d2345fc.pkl,3.102,17.007,10.055
93608ba7050bdeb1.pkl,18.288,58.917,38.603
90193450107d3cda.pkl,9.843,12.226,11.035
17207a230cb3caf0.pkl,19.33,67.615,43.472
933609c87242734c.pkl,9.816,50.369,30.092
b66e1634dc0ac385.pkl,7.881,30.644,19.263
9fc5efcabd601011.pkl,4.28,5.281,4.78
9f08d787b6d5bd1c.pkl,1.55,3.018,2.284
f06b0d333dde36dd.pkl,9.156,44.082,26.619
cc048bd58f98c85d.pkl,8.633,34.619,21.626
324b41964abb7199.pkl,3.046,6.479,4.762
ea98889925cd5afb.pkl,12.816,45.67,29.243
dffd375e361e8c6d.pkl,10.369,52.802,31.585
1e87a4f7772a8b22.pkl,8.024,9.394,8.709
c5f1de5d2b85ec1.pkl,12.311,31.834,22.073
ac579fa0197d1bb1.pkl,3.479,3.433,3.456
8342e53706d25bff.pkl,5.278,7.245,6.262
1a2c086e32ae983e.pkl,4.192,7.194,5.693
aa5b139cd4af7c51.pkl,8.727,17.538,13.133
f88752af82cbceeb.pkl,13.014,48.007,30.51
808178c5300bb22e.pkl,8.075,34.752,21.414
709aa03a2a093d07.pkl,16.942,83.173,50.057
1f97bf4d71f98d77.pkl,9.01,8.943,8.977
3568048113a997dd.pkl,2.064,12.145,7.104
8838333e19b22e1b.pkl,10.345,49.427,29.886
fd5de0fe0c7d7b91.pkl,12.099,51.223,31.661
bcfa63c767c71961.pkl,6.542,18.9,12.721
9cc2cf167b5b7250.pkl,5.274,10.337,7.806
716b709a18a5cb01.pkl,7.916,7.068,7.492
922c1ebc7a217f2d.pkl,11.921,32.888,22.404
e1f26fc356a7d255.pkl,13.213,27.176,20.194
3119cdb4cb08bf84.pkl,20.303,51.678,35.991
